"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
31,"NCT04397757","COVID-19 Convalescent Plasma for the Treatment of Hospitalized Patients With Pneumonia Caused by SARS-CoV-2.",,"Recruiting","No Results Available","COVID-19","Biological: COVID-19 Convalescent Plasma","Participants with serious adverse events.|Comparison of clinical severity score between patients on the experimental versus control arms;|Clinical status assessment, using 8-point ordinal scale, of convalescent plasma administration by comparing treatment vs control arms|Clinical status assessment using the National Early Warning Score (NEWS) of convalescent plasma administration by comparing treatment vs control arms|Oxygen-free days of convalescent plasma administration by comparing treatment vs control arms|Incidence of new oxygenation use up to Day 29 of convalescent plasma administration by comparing treatment vs control arms|Duration of new oxygen use up to Day 29 of convalescent plasma administration by comparing treatment vs control arms|Non-invasive ventilation/high flow oxygen days up to Day 29 of convalescent plasma administration by comparing treatment vs control arms|Incidence of non-invasive ventilation/high flow oxygen up to Day 29 of convalescent plasma administration by comparing treatment vs control arms|Duration of non-invasive ventilation/high flow oxygen up to Day 29 of convalescent plasma administration by comparing treatment vs control arms|Ventilator/ECMO free days to Day 29 of convalescent plasma administration by comparing treatment vs control arms|Incidence of new mechanical ventilation or ECMO use of convalescent plasma administration by comparing treatment vs control arms|Duration of new mechanical ventilation or ECMO use of convalescent plasma administration by comparing treatment vs control arms|Duration of hospitalization of convalescent plasma administration by comparing treatment vs control arms|Mortality of convalescent plasma administration by comparing treatment vs control arms|Cumulative incidence of SAEs through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Cumulative incidence of Grade 3 and Grade 4 clinical and/or laboratory adverse events through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in WBC with differential through day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in hemoglobin measurement through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in platelets measurement through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in creatinine measurement through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in glucose measurement through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in bilirubin measurement through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in ALT measurement laboratory adverse events through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in AST measurement through Day 29 of convalescent plasma administration by comparing treatment vs control arms|Changes in PT measurement laboratory adverse events through Day 29 of convalescent plasma administration by comparing treatment vs control arms","University of Pennsylvania","All","18 Years and older   (Adult, Older Adult)","Phase 1","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","843003 (PennCCP-02)","May 13, 2020","December 31, 2020","March 31, 2021","May 21, 2020",,"September 17, 2020","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04397757"
32,"NCT04470999","Changes in Cellular Immune Profile During COVID-19 Infection",,"Recruiting","No Results Available","Covid19|SARS-CoV-2","Other: Leukapheresis","Cellular immune system profiling|Innate immune system profiling|Expansion of virus-specific innate immune cells","Serhat Gumrukcu, MD PhD|The Scripps Research Institute|Seraph Research Institute","All","18 Years to 60 Years   (Adult)","Not Applicable","25","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","SRPH-CVD-01","April 15, 2020","September 30, 2020","December 31, 2020","July 14, 2020",,"July 20, 2020","Seraph Research Institute, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04470999"
33,"NCT04442191","Convalescent Plasma as a Possible Treatment for COVID-19",,"Recruiting","No Results Available","COVID-19","Biological: Convalescent plasma|Biological: Placebo","Oxygen supplementation|28-day and in-hospital mortality rate|Number of participants transferred to the Intensive Care Unit (ICU)|Number of participants intubated|Length of hospital stay in days|Type of respiratory support|C-reactive Protein (CRP)|Lymphocyte count|Length or respiratory support required, in days|Lactate dehydrogenase (LDH)|Ferritin|D-Dimer|White Blood Cell (WBC) Count","University of Illinois at Chicago","All","40 Years and older   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2020-0441","May 5, 2020","May 5, 2021","May 5, 2021","June 22, 2020",,"June 22, 2020","University of Illinois at Chicago, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04442191"
34,"NCT04338828","Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED","NO COV-ED","Recruiting","No Results Available","COVID19","Drug: Nitric Oxide Gas|Other: Inhaled Supplemental Oxygen","Rates of return visits to the ED|Inpatient hospitalizations required|Rates of intubation|Rates of mortality","Massachusetts General Hospital|Department of Anesthesia, MGH","All","18 Years and older   (Adult, Older Adult)","Phase 2","260","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2019P00XXXX","April 18, 2020","April 2021","April 2022","April 8, 2020",,"May 20, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04338828"
35,"NCT04354870","COVID-19 PrEP HCW HCQ Study",,"Completed","No Results Available","COVID-19","Drug: Hydroxychloroquine (HCQ)","Frequency of seroconversion to SARS-CoV-2|Incidence of COVID-19 symptoms in the 4 weeks preceding seroconversion|Hospital admission rate|ICU admission rate|Mortality rate|Incidents of AEs or SAEs related to HCQ upon study termination time","NYU Langone Health","All","18 Years and older   (Adult, Older Adult)","Phase 2","130","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","s20-00390","April 3, 2020","September 15, 2020","October 1, 2020","April 21, 2020",,"October 5, 2020","NYU Langone Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04354870"
36,"NCT04426344","Core Warming of COVID-19 Patients",,"Withdrawn","No Results Available","COVID 19","Device: ensoETM device","Viral load measured in tracheal aspirate 72 hours after initiation of core warming|PaO2/FiO2 ratio 72 hours after initiation of core warming|Duration of mechanical ventilation","Washington University School of Medicine","All","18 Years and older   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","202005150","October 2020","December 2020","December 2020","June 11, 2020",,"October 19, 2020","Barnes-Jewish Hospital, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04426344"
37,"NCT04349371","Saved From COVID-19",,"Recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: Placebo oral tablet","Number of symptomatic illness in at risk healthcare workers|Number of healthcare workers with symptomatic COVID infections|Number of severe illness in at risk healthcare workers|Number of sero-conversions in at risk healthcare workers|Percentage of patients with adverse events Grade 3 or higher|Percentage of patients with GI intolerance","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2","350","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","AAAS9992","April 2020","April 2021","April 2021","April 16, 2020",,"April 21, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04349371"
38,"NCT04379492","A Study of Hydroxycholoroquine Compared to Placebo as Treatment for People With COVID-19",,"Withdrawn","No Results Available","COVID-19|COVID19|Sars-CoV2|SARS-Cov-2","Drug: Hydroxychloroquine|Other: Placebo","Clinical improvement on the Ordinal Scale for Clinical Improvement (OSCI)|Number of participants requiring mechanical ventilation for respiratory failure","Memorial Sloan Kettering Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20-187","May 5, 2020","September 25, 2020","September 25, 2020","May 7, 2020",,"September 30, 2020","Memorial Sloan - Kettering Cancer Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04379492"
39,"NCT04570488","Predicting Favorable Outcomes in Hospitalized Covid-19 Patients",,"Recruiting","No Results Available","COVID|Corona Virus Infection|Adverse Event","Other: EPIC risk score display","Reduction in days from first low-risk score to discharge|Reduction in length of stay (LOS)|Reduction in GTD vs. LOS|No change in 30 day re-ED presentation or hospital admission rate for cohort","NYU Langone Health","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","1200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Health Services Research","PAU COVID19 RCT","May 15, 2020","December 30, 2020","May 15, 2021","September 30, 2020",,"October 14, 2020","NYU Langone Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04570488"
40,"NCT04570462","Mild Hypothermia for COVID-19 ARDS",,"Recruiting","No Results Available","COVID19 ARDS","Other: Hypothermia Via Cooling Machine- Arctic Sun 5000","Changes in metabolic requirement during and after hypothermia|Changes in oxygen requirements and levels during and after hypothermia|length of intubation|Changes in carbon dioxide levels during and after hypothermia|does application of hypothermia reduce pro inflammatory response","Northwell Health","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Protocol 5.18.2020 Approved","May 18, 2020","December 31, 2020","December 31, 2020","September 30, 2020",,"September 30, 2020","North Shore University Hospital, Manhasset, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT04570462/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04570462"
41,"NCT04478019","SHIELD Study: Using Naso-oropharyngeal Antiseptic Decolonization to Reduce COVID-19 Viral Shedding","SHIELD","Recruiting","No Results Available","COVID-19|SARS-CoV 2","Drug: 10% Povidone-iodine nasal decolonization swab plus 0.12% CHG oral rinse","Number of Participants with COVID-19 diagnosis|SARS-Cov-2 Viral Load|Fidelity of the treatment regimen|Feasibility of the treatment regimen","University of Wisconsin, Madison","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","94","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2020-0540|A534265|SMPH/MEDICINE/INFECT DIS|Protocol Version 6/1/2020","July 7, 2020","April 30, 2021","April 30, 2021","July 20, 2020",,"July 20, 2020","University of Wisconsin-Madison, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04478019"
42,"NCT04512079","FREEDOM COVID-19 Anticoagulation Strategy","FREEDOM COVID","Recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: Enoxaparin|Drug: Apixaban","Time to first event|Number of in-hospital rate of BARC 3 or 5|Number of participants with Myocardial infarction|Number of participants with Deep Vein Thrombosis|Number of participants requiring Ventilation|Number of All Death|Cause of Death|Number of participants with Stroke|Number of participants with Pulmonary Emboli|Number of participants with Systemic Thromboembolism","Valentin Fuster|Icahn School of Medicine at Mount Sinai","All","18 Years and older   (Adult, Older Adult)","Phase 4","3600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GCO 20-2115","September 8, 2020","March 2021","June 2021","August 13, 2020",,"October 14, 2020","Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04512079"
43,"NCT04435808","Efficacy of Hydroxychloroquine Prophylaxis for Health Care Workers at High Risk for COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine","SARS-CoV-2 Infection|Symptomatic vs. Asymptomatic Infection with SARS-CoV-2|Occupational Health Exposure|Impact of Hydroxychloroquine use on Need for Hospitalization with SARS-CoV-2 Infection|Impact of Hydroxychloroquine use on Need for ICU Care with SARS-CoV-2 Infection|Adverse Effect Profile of Hydroxychloroquine|Seroconversion Following SARS-CoV-2 Infection|Metagenomic Next Generation Sequencing of SARS-CoV-2 Isolates","University of New Mexico","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","350","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","20-206","April 14, 2020","April 14, 2021","April 14, 2025","June 17, 2020",,"June 17, 2020","University of New Mexico Health Sciences Center, Albuquerque, New Mexico, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/08/NCT04435808/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04435808"
44,"NCT04365257","Prazosin to Prevent COVID-19 (PREVENT-COVID Trial)","PREVENT","Recruiting","No Results Available","COVID-19","Drug: Prazosin|Other: Standard of care","Death|Hospitalized, requiring mechanical ventilation and/or high flow nasal cannula and/or ICU/CCU admission (or equivalent) and/or ECMO|Hospitalized, requiring supplemental oxygen, not requiring ICU/CCU level care (or interventions listed under Outcome 2)|Cumulative incidence of grade 3 and 4 adverse events|Number of participants with serious adverse events|Incidence of symptomatic hypotension or hypotension requiring cessation of prazosin|Number of participants with laboratory abnormalities in peripheral blood|Duration of laboratory abnormalities in peripheral blood|Number of participants with laboratory abnormalities in plasma|Duration of laboratory abnormalities in plasma","Johns Hopkins University|Fast Grants","All","45 Years to 85 Years   (Adult, Older Adult)","Phase 2","220","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00246659|COV2001","May 13, 2020","December 2020","December 2020","April 28, 2020",,"May 15, 2020","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04365257"
